num_phcs,cameras_per_phc,ai_workers,bandwidth_mbps,ophthalmologists,scheduled_demand,annual_capacity,bottleneck,camera_util,ai_util,oph_util,avg_turnaround_min,scenario_name
5,1,1,1.0,1,15000,15000,PHC Cameras,0.10097066465622855,0.0043475425515727235,0.07532729710592524,3.5642144166666667,Scenario 1: Single PHC Pilot
15,1,2,2.0,2,56250,56250,Ophthalmologist Review,0.12621276442976512,0.008151641102878637,0.1412383274368947,3.535681083333333,Scenario 2: Typical Sub-District
25,1,2,0.256,2,93750,93750,Ophthalmologist Review,0.126212651152271,0.01358606850479773,0.23539721239482453,3.7300644166666665,Scenario 3: Bandwidth Constrained (2G/EDGE)
35,1,4,2.0,1,131250,131250,Ophthalmologist Review,0.1262126026048358,0.00951024795335841,0.6591138496768459,3.535681083333333,Scenario 4: Specialist-Constrained
30,1,4,2.0,3,120000,120000,Ophthalmologist Review,0.1346267976884579,0.008695083843070547,0.2008724560340412,3.535681083333333,Scenario 5: 100k District Scale (Balanced)
50,2,6,4.0,5,250000,250000,Ophthalmologist Review,0.0841416824768888,0.012076504754230086,0.2510904859806138,3.5214144166666665,Scenario 6: High-Density District Program
